k, l, time, score, round
3,2,0.0010997500000000104,102,1
3,3,0.01645566599999998,88,1
5,2,0.0025706659999999992,254,1
5,3,0.12840287499999997,267,1
7,2,0.004879458000000003,712,1
7,3,0.4303586249999999,570,1
9,2,0.008035708999999835,1221,1
9,3,1.01830625,1236,1
11,2,0.011684832999999895,1805,1
11,3,1.9979492920000004,1806,1
13,2,0.016116875000000697,2597,1
13,3,3.3843122919999997,2616,1
4,4,0.4449526660000007,148,1
7,4,12.956456416000002,570,1
10,4,77.447053958,1420,1
13,4,261.36220075000006,2591,1
3,2,0.0010328749999999332,76,2
3,3,0.016766959000000026,68,2
5,2,0.002569958000000039,313,2
5,3,0.13258704100000007,308,2
7,2,0.005447165999999948,598,2
7,3,0.4315748340000001,584,2
9,2,0.007841666000000025,1138,2
9,3,1.0235689580000003,1159,2
11,2,0.012086749999999924,1862,2
11,3,2.004254459,1862,2
13,2,0.01614125000000044,2497,2
13,3,3.4302965000000007,2553,2
4,4,0.46050899999999917,167,2
7,4,13.074507416000001,598,2
10,4,78.261477541,1315,2
13,4,264.23901520799996,2565,2
3,2,0.0009854169999999884,86,3
3,3,0.016913958000000062,80,3
5,2,0.002586167000000028,248,3
5,3,0.13386137499999995,243,3
7,2,0.0056961660000000025,654,3
7,3,0.44915158300000013,690,3
9,2,0.00801529099999998,1146,3
9,3,1.0340526669999999,1141,3
11,2,0.011624042000000223,1675,3
11,3,2.0124851250000004,1724,3
13,2,0.016023708000000525,2505,3
13,3,3.461333958,2492,3
4,4,0.4657205840000005,162,3
7,4,13.1331355,654,3
10,4,78.505779334,1448,3
13,4,264.373883834,2491,3
3,2,0.0009779590000000837,78,4
3,3,0.01578554100000007,78,4
5,2,0.0023733329999999775,383,4
5,3,0.12784883400000002,316,4
7,2,0.00492674999999998,539,4
7,3,0.425322,502,4
9,2,0.007556459000000126,1129,4
9,3,1.009724,1135,4
11,2,0.011571332999999573,1819,4
11,3,1.9879794579999999,1822,4
13,2,0.016422084000000226,2593,4
13,3,3.375207584,2672,4
4,4,0.44706391700000037,153,4
7,4,13.225335000000001,502,4
10,4,77.503702625,1430,4
13,4,260.89064608399997,2582,4
3,2,0.0021169579999877897,108,5
3,3,0.015729749999991327,108,5
5,2,0.0024214580000716524,268,5
5,3,0.1291284579999683,268,5
7,2,0.0046127079999678244,665,5
7,3,0.4280538329999217,687,5
9,2,0.008241209000061644,1160,5
9,3,1.0036042089998318,1160,5
11,2,0.011588916999926369,1736,5
11,3,1.9600966250000056,1783,5
13,2,0.015653582999902937,2361,5
13,3,3.4097050830000626,2423,5
4,4,0.46905583400007345,182,5
7,4,12.93074916699993,664,5
10,4,77.12828054199986,1491,5
13,4,260.38140724999994,2412,5
3,2,0.0016329580003002775,82,6
3,3,0.01584720799974093,82,6
5,2,0.0024766249998720014,281,6
5,3,0.12665199999992183,289,6
7,2,0.0049132079998344125,726,6
7,3,0.4255380409999816,703,6
9,2,0.007905375000063941,1104,6
9,3,1.0075870409996242,1104,6
11,2,0.013003875000322296,1748,6
11,3,1.971923790999881,1748,6
13,2,0.0152765000002546,2482,6
13,3,3.4232234590003827,2493,6
4,4,0.4511820830002762,153,6
7,4,12.97140433300001,624,6
10,4,77.79104624999991,1417,6
13,4,260.7598525829999,2535,6
3,2,0.001433583000107319,72,7
3,3,0.015800375000253553,72,7
5,2,0.0023906670003270847,336,7
5,3,0.12498258399955375,327,7
7,2,0.005338416000085999,650,7
7,3,0.42409379099990474,650,7
9,2,0.007812833000571118,1103,7
9,3,1.0064234170004056,1103,7
11,2,0.01142591700045159,1813,7
11,3,1.9635575419997622,1803,7
13,2,0.01567441699990013,2659,7
13,3,3.4060862919996,2628,7
4,4,0.45139108300008957,171,7
7,4,12.908009291999406,650,7
10,4,76.72853958399992,1425,7
13,4,260.80372495899974,2628,7
3,2,0.00238954099950206,68,8
3,3,0.0157881669993003,68,8
5,2,0.0023387920000459417,303,8
5,3,0.12555937500019354,303,8
7,2,0.004817917000764282,555,8
7,3,0.42711270899962983,578,8
9,2,0.008045708000281593,1053,8
9,3,1.0062899169997763,1061,8
11,2,0.011335457999848586,1933,8
11,3,1.969081209000251,1943,8
13,2,0.016513417000169284,2273,8
13,3,3.5244293750001816,2273,8
4,4,0.4646713339998314,151,8
7,4,12.90736595800081,555,8
10,4,76.72546308300025,1374,8
13,4,261.21558474999983,2286,8
3,2,0.00149275000057969,81,9
3,3,0.01584329199977219,78,9
5,2,0.002457749999848602,299,9
5,3,0.12473262500043347,279,9
7,2,0.004741374999866821,685,9
7,3,0.4221922500000801,667,9
9,2,0.008279291999315319,1189,9
9,3,1.0005772499998784,1199,9
11,2,0.011251958000684681,1766,9
11,3,1.9674393340001188,1678,9
13,2,0.015576792000501882,2703,9
13,3,3.411759042000085,2564,9
4,4,0.45326495800054545,176,9
7,4,12.957557333000295,655,9
10,4,76.44954445900021,1330,9
13,4,259.9591654170008,2559,9
3,2,0.0013627499993162928,93,10
3,3,0.01602995899884263,88,10
5,2,0.0024170420001610182,313,10
5,3,0.1276633329998731,313,10
7,2,0.004819666000912548,723,10
7,3,0.4255927909998718,673,10
9,2,0.007976500000950182,1137,10
9,3,1.0058874170008494,1129,10
11,2,0.011545916999239125,1773,10
11,3,1.980974875001266,1748,10
13,2,0.015480041998671368,2426,10
13,3,3.425721333000183,2434,10
4,4,0.4629225000007864,160,10
7,4,12.985030457999528,709,10
10,4,77.30798858299931,1381,10
13,4,261.7808063749999,2432,10
