k, l, time, score, round, eps
3,2,0.005483165999999984,102,1,0.1
3,3,0.11346974999999992,88,1,0.1
5,2,0.021777500000000005,254,1,0.1
5,3,0.45672325000000014,272,1,0.1
7,2,0.04785191600000016,712,1,0.1
7,3,1.0378196659999999,570,1,0.1
9,2,0.07798624999999992,1221,1,0.1
9,3,1.765759959,1246,1,0.1
11,2,0.12519033299999993,1805,1,0.1
11,3,2.845754083,1854,1,0.1
13,2,0.1913538749999999,2597,1,0.1
13,3,4.2996412500000005,2613,1,0.1
4,4,3.949540582999999,148,1,0.1
7,4,16.179481625,568,1,0.1
10,4,37.959464333999996,1480,1,0.1
13,4,70.02558929199999,2601,1,0.1
3,2,0.005546832999925755,76,2,0.1
3,3,0.11026270900003965,68,2,0.1
5,2,0.02137366599993129,313,2,0.1
5,3,0.4424289170000293,308,2,0.1
7,2,0.04642004200002248,598,2,0.1
7,3,1.0132081670000161,598,2,0.1
9,2,0.07741170799999963,1138,2,0.1
9,3,1.734314333000043,1149,2,0.1
11,2,0.1268232499999158,1862,2,0.1
11,3,2.8596952500000725,1885,2,0.1
13,2,0.19242462500005786,2497,2,0.1
13,3,4.421378750000031,2526,2,0.1
4,4,3.7460929170000554,167,2,0.1
7,4,15.742702207999969,598,2,0.1
10,4,38.411429500000054,1281,2,0.1
13,4,70.222953459,2479,2,0.1
3,2,0.006102125000097658,86,3,0.1
3,3,0.11134687499998108,80,3,0.1
5,2,0.020297042000038346,248,3,0.1
5,3,0.4411789159998989,243,3,0.1
7,2,0.04499112500002411,654,3,0.1
7,3,1.0038142920000155,690,3,0.1
9,2,0.07628179100015586,1146,3,0.1
9,3,1.7160656250000557,1141,3,0.1
11,2,0.12586699999997109,1675,3,0.1
11,3,2.8307062090000272,1699,3,0.1
13,2,0.19097529200007557,2505,3,0.1
13,3,4.326821040999903,2504,3,0.1
4,4,3.7142327499998373,162,3,0.1
7,4,15.35755683299999,662,3,0.1
10,4,35.48605550000002,1393,3,0.1
13,4,66.05550600000015,2480,3,0.1
3,2,0.004094874999999998,102,1,0.3
3,3,0.07560479200000003,88,1,0.3
5,2,0.01565712499999994,254,1,0.3
5,3,0.327706375,267,1,0.3
7,2,0.03460637500000008,712,1,0.3
7,3,0.7586054160000001,570,1,0.3
9,2,0.057839500000000044,1221,1,0.3
9,3,1.2874568750000002,1236,1,0.3
11,2,0.0962013749999997,1805,1,0.3
11,3,2.201896334,1832,1,0.3
13,2,0.13964512499999948,2597,1,0.3
13,3,3.0871693329999994,2586,1,0.3
4,4,2.7115817090000007,148,1,0.3
7,4,12.319548667000001,570,1,0.3
10,4,28.584566375,1412,1,0.3
13,4,49.855013209,2586,1,0.3
3,2,0.0024684579999956213,102,1,0.6
3,3,0.05297570799999107,88,1,0.6
5,2,0.01117029099999911,254,1,0.6
5,3,0.25292366699999036,267,1,0.6
7,2,0.027100042000000713,712,1,0.6
7,3,0.6002909999999986,570,1,0.6
9,2,0.046020249999997986,1221,1,0.6
9,3,1.0168323749999928,1211,1,0.6
11,2,0.07964141699999061,1805,1,0.6
11,3,1.764451084000001,1820,1,0.6
13,2,0.11137458299999992,2597,1,0.6
13,3,2.4780834580000004,2588,1,0.6
4,4,1.9801259999999985,148,1,0.6
7,4,9.127935457999996,570,1,0.6
10,4,22.232768041000014,1412,1,0.6
13,4,38.54853566699998,2616,1,0.6
3,2,0.0021440419999976257,102,1,0.9
3,3,0.0390862079999863,88,1,0.9
5,2,0.007477792000003092,254,1,0.9
5,3,0.16435945800000695,272,1,0.9
7,2,0.019348708000023862,712,1,0.9
7,3,0.4219444160000023,568,1,0.9
9,2,0.03878962499999261,1221,1,0.9
9,3,0.8594344580000097,1193,1,0.9
11,2,0.06887587500000336,1805,1,0.9
11,3,1.5233304580000038,1819,1,0.9
13,2,0.09709037500002182,2597,1,0.9
13,3,2.1565146670000104,2591,1,0.9
4,4,1.5868042500000001,148,1,0.9
7,4,6.747910708999996,570,1,0.9
10,4,17.334904959,1433,1,0.9
13,4,35.080732375000025,2572,1,0.9
3,2,0.004181708000004392,76,2,0.3
3,3,0.0744563749999827,68,2,0.3
5,2,0.015473082999989174,313,2,0.3
5,3,0.32685220799999115,308,2,0.3
7,2,0.034752459000003455,598,2,0.3
7,3,0.7728564580000068,584,2,0.3
9,2,0.05860516699999607,1138,2,0.3
9,3,1.335187542,1159,2,0.3
11,2,0.09998912499997914,1862,2,0.3
11,3,2.258662500000014,1884,2,0.3
13,2,0.14133800000001884,2497,2,0.3
13,3,3.2359904170000107,2515,2,0.3
4,4,2.6524862500000097,167,2,0.3
7,4,11.763415416999976,582,2,0.3
10,4,27.785034832999997,1277,2,0.3
13,4,48.14983758300002,2529,2,0.3
3,2,0.0030567499999847314,76,2,0.6
3,3,0.05137574999997696,68,2,0.6
5,2,0.011924834000012652,313,2,0.6
5,3,0.24414737500001138,305,2,0.6
7,2,0.026909666999983983,598,2,0.6
7,3,0.5910693330000072,598,2,0.6
9,2,0.045522665999953915,1138,2,0.6
9,3,1.0528050419999886,1135,2,0.6
11,2,0.08250175000000581,1862,2,0.6
11,3,1.760609417000012,1881,2,0.6
13,2,0.11133683299999575,2497,2,0.6
13,3,2.4843976250000424,2531,2,0.6
4,4,1.9152957910000055,167,2,0.6
7,4,9.13588970799998,598,2,0.6
10,4,22.294975125000008,1300,2,0.6
13,4,38.426316041999996,2500,2,0.6
3,2,0.0019275000000220643,76,2,0.9
3,3,0.03940262500003655,68,2,0.9
5,2,0.007495749999975487,313,2,0.9
5,3,0.16491791700002523,308,2,0.9
7,2,0.01914904199998091,598,2,0.9
7,3,0.4246772090000377,598,2,0.9
9,2,0.039384457999972255,1138,2,0.9
9,3,0.8654905000000213,1133,2,0.9
11,2,0.0687859170000138,1862,2,0.9
11,3,1.5363555829999882,1886,2,0.9
13,2,0.09782612500004007,2497,2,0.9
13,3,2.207890917000043,2509,2,0.9
4,4,1.5635416669999813,167,2,0.9
7,4,6.645974707999983,598,2,0.9
10,4,16.776188417000014,1284,2,0.9
13,4,33.529133875000014,2510,2,0.9
3,2,0.004194999999981519,86,3,0.3
3,3,0.07467083300002741,80,3,0.3
5,2,0.015286292000041612,248,3,0.3
5,3,0.3216075839999917,243,3,0.3
7,2,0.0340953749999926,654,3,0.3
7,3,0.7548363750000249,690,3,0.3
9,2,0.05801733300000933,1146,3,0.3
9,3,1.319083833000036,1159,3,0.3
11,2,0.0979602080000177,1675,3,0.3
11,3,2.2327452499999936,1697,3,0.3
13,2,0.1440154580000126,2505,3,0.3
13,3,3.1612017909999963,2487,3,0.3
4,4,2.647656208000001,162,3,0.3
7,4,11.711032208000006,654,3,0.3
10,4,27.619883415999993,1414,3,0.3
13,4,47.68537141599995,2482,3,0.3
3,2,0.0024577909999834446,86,3,0.6
